Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	4	0	22	0	Ağıraksak	0
2	9	Sol5	G5	349	349	1	4	833	95	96	ARANAĞME	0.1111111
3	9	Mi5b5	E5b5	331	331	3	32	312	95	96	.	0.1527778
4	9	Re5	D5	327	327	1	32	104	95	96	.	0.1666667
5	9	Do5	C5	318	318	1	8	417	95	96	.	0.2222222
6	9	Re5	D5	327	327	1	4	833	95	96	.	0.3333333
7	9	Si4b5	B4b5	309	309	3	32	312	95	96	.	0.375
8	9	La4b5	A4b5	300	300	1	32	104	95	96	.	0.3888889
9	9	Sol4	G4	296	296	1	8	417	95	96	.	0.4444444
10	9	Do5	C5	318	318	1	4	833	95	96	.	0.5555556
11	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	0.5833333
12	9	La4b5	A4b5	300	300	1	16	208	95	96	.	0.6111111
13	9	La4b5	A4b5	300	300	1	16	208	95	96	.	0.6388889
14	9	Sol4	G4	296	296	1	16	208	95	96	.	0.6666667
15	9	Sol4	G4	296	296	1	4	833	95	96	.	0.7777778
16	53			0	0	0	0	0	0	0		0.7777778
17	9	Sol5	G5	349	349	1	16	208	95	96	.	0.8055556
18	9	Fa5	F5	340	340	1	16	208	95	96	.	0.8333333
19	9	Mi5b1	E5b1	335	335	1	16	208	95	96	.	0.8611111
20	9	Sol5	G5	349	349	1	16	208	95	96	.	0.8888889
21	9	Fa5	F5	340	340	1	4	833	95	96	.	1
22	53			0	0	0	0	0	0	0		1
23	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	1.055556
24	9	Fa5	F5	340	340	1	4	833	95	96	.	1.166667
25	9	Fa5	F5	340	340	1	16	208	95	96	.	1.194444
26	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	1.222222
27	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	1.277778
28	9	Re5	D5	327	327	1	8	417	95	96	.	1.333333
29	53			0	0	0	0	0	0	0		1.333333
30	9	Si5b5	B5b5	362	362	1	16	208	95	96	.	1.361111
31	9	La5	A5	358	358	1	16	208	95	96	.	1.388889
32	9	Sol5	G5	349	349	1	8	417	95	96	.	1.444444
33	9	Fa5	F5	340	340	3	16	625	95	96	.	1.527778
34	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	1.555556
35	9	Fa5	F5	340	340	1	16	208	95	96	.	1.583333
36	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	1.611111
37	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	1.638889
38	9	Re5	D5	327	327	1	16	208	95	96	.	1.666667
39	9	Re5	D5	327	327	1	4	833	95	96	.	1.777778
40	53			0	0	0	0	0	0	0		1.777778
41	9	Do5	C5	318	318	1	16	208	95	96	.	1.805556
42	9	Re5	D5	327	327	1	16	208	95	96	.	1.833333
43	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	1.861111
44	9	Fa5	F5	340	340	1	16	208	95	96	.	1.888889
45	9	Sol5	G5	349	349	1	4	833	95	96	.	2
46	53			0	0	0	0	0	0	0		2
47	9	Do5	C5	318	318	1	16	208	95	96	.	2.027778
48	9	Re5	D5	327	327	1	16	208	95	96	.	2.055556
49	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	2.083333
50	9	Fa5	F5	340	340	1	16	208	95	96	.	2.111111
51	9	Sol5	G5	349	349	1	16	208	95	96	.	2.138889
52	9	Fa5	F5	340	340	1	16	208	95	96	.	2.166667
53	9	Sol5	G5	349	349	1	8	417	95	96	.	2.222222
54	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	2.25
55	9	Do5	C5	318	318	1	16	208	95	96	.	2.277778
56	9	Re5	D5	327	327	1	16	208	95	96	.	2.305556
57	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	2.333333
58	9	Fa5	F5	340	340	1	16	208	95	96	.	2.361111
59	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	2.388889
60	9	Fa5	F5	340	340	1	8	417	50	96	.	2.444444
61	53			0	0	0	0	0	0	0		2.444444
62	9	Re5	D5	327	327	1	8	417	95	96	.	2.5
63	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	2.527778
64	9	Re5	D5	327	327	1	16	208	95	96	.	2.555556
65	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	2.611111
66	9	Sol5	G5	349	349	1	8	417	95	96	.	2.666667
67	9	Fa5	F5	340	340	1	8	417	95	96	.	2.722222
68	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	2.777778
69	9	Re5	D5	327	327	1	8	417	95	96	.	2.833333
70	9	Do5	C5	318	318	1	8	417	95	96	.	2.888889
